year,co2_ff,co2_tot,co2_lu
1920,0.9565305612217072,2.163307649850014,1.2067771584401419
1921,0.8388432353422417,2.0732420049086446,1.2343987695664032
1922,0.8798595734933188,2.125710625579493,1.2458511218980093
1923,0.9983858281974367,2.2504953716934826,1.252109613307881
1924,1.0014724188710118,2.2570421859830927,1.255569767112081
1925,1.0125320796291246,2.28348844505045,1.2709562956094902
1926,0.9940767624761386,2.263836413416962,1.2697597207526587
1927,1.0857718854649576,2.3533580845377693,1.267586338696482
1928,1.0806237512953367,2.351200340332697,1.270576519225525
1929,1.1604153280610854,2.4316730013635124,1.2712577431142624
1930,1.0698517152986093,2.369413131169894,1.2995612762476139
1931,0.9559145415871285,2.281764092718844,1.32584948131988
1932,0.861514698663758,2.199390315789474,1.3378756869375512
1933,0.9071415500409055,2.2589557283883286,1.3518141783474231
1934,0.9865557938369239,2.353955673847832,1.3673999498227434
1935,1.0352139449140987,2.3998759443686937,1.3646619296427598
1936,1.1373425164985,2.5084785863103356,1.3711361396236705
1937,1.21597081865285,2.5883921941641668,1.3724213755113173
1938,1.144068607581129,2.5258930089991822,1.3818243316062175
1939,1.2103110335424054,2.5937534638669213,1.383442430324516
1940,1.3226064423234254,2.756597109353695,1.43399066703027
1941,1.352406741205345,2.811954264521407,1.4595476629397328
1942,1.3471021587128444,2.8079297518407422,1.4608277327515682
1943,1.3698731038996457,2.827179946550314,1.4573069822743387
1944,1.392278653940551,2.844479319334606,1.4522006653940551
1945,1.1575658881919826,2.6006586921188983,1.4430928737387512
1946,1.2635852827924736,2.698506122716117,1.4349207002999729
1947,1.399042164166894,2.8244575642214347,1.4254154000545407
1948,1.4729284974093266,2.8795276531224436,1.4065992953367876
1949,1.4298386779383694,2.817488388328334,1.3876497103899645
1950,1.637131658576493,3.122233245704936,1.4851017267521136
1951,1.73981230215435,3.2732245170439054,1.533412075265885
1952,1.763248135260431,3.3538798058358332,1.5906316705754022
1953,1.812891331333515,3.4410907052086177,1.6281995134987728
1954,1.8516730624488682,3.5324101707117537,1.6807369686392148
1955,2.0298256056722117,3.7672278636487593,1.7374022579765478
1956,2.160999530951732,3.958353121352604,1.7973535904008726
1957,2.2322580070902647,4.080832959912735,1.8485748131988
1958,2.2955470433596945,4.201740356694846,1.9061931737114808
1959,2.415155241887101,4.259164221434415,1.844008979547314
1960,2.5600793062448868,4.4122744215980365,1.8521949757294793
1961,2.5684846512135264,4.429081481319881,1.860596830106354
1962,2.659193682028907,4.448327766566676,1.7891340845377692
1963,2.8011700114535047,4.451680689391873,1.6505105383146987
1964,2.9533316083992367,4.516163368421053,1.5628316203981456
1965,3.0864147477502044,4.502427750204527,1.416013142077993
1966,3.236230387782929,4.5839925475865835,1.3477621598036542
1967,3.339076625034088,4.71017660212708,1.3711002563403327
1968,3.520947346604854,4.899351037905645,1.378403691300791
1969,3.754534117262067,5.045901159530953,1.2913670422688848
1970,4.062878472866103,5.348340550859014,1.2854617987455688
1971,4.226794986637579,5.498887818925552,1.2720928322879739
1972,4.423981307881101,5.699238850286338,1.2752574027815655
1973,4.657797061358059,5.8954207188437415,1.2376237971093538
1974,4.638981096263976,5.830271197163895,1.1912903801472594
1975,4.649178929915463,6.06503778783747,1.415858578674666
1976,4.904690805563131,6.20555393291519,1.3008629877283884
